City,CompanyName,Rating,Reviews,Address,PhoneNumber,WebsiteURL,Website_Present,Contact_Complete,Phone_OK,Website_OK
Gujranwala,Aroush IT Lab,4.5,-43.0,48-C Block? Trust Plaza,0313 7493888,Not-Available,False,True,1,0
Gujranwala,IvisionsTech Software House ( SEO | Website & App Design And Development | Website Hosting | Graphics Designers | App | Web),5.0,-78.0,"2nd Floor, 672-B, near Mohsin Saeed Fabrics, near Billa Chowk",0321 6661363,http://ivisionstech.com/,True,True,1,1
Gujranwala,Bestosoft | Best software House in Gujranwala,5.0,-3.0,"558X+48V, Pasrur Rd",0309 7150035,http://bestosoft.co/,True,True,1,1
Gujranwala,Innovate Technologies Pakistan,5.0,-124.0,·,0312 2879500,https://innovate.com.pk/,True,True,1,1
Gujranwala,SyncOps,5.0,-54.0,"Mumtaz Market, GT Rd, opposite Chaseup Shopping Mall",0301 8678319,https://www.syncops.tech/,True,True,1,1
Gujranwala,Dev Valley Software House and Incubation Centre,5.0,-78.0,Not-Available,Not-Available,https://web.facebook.com/devvalley001,True,False,0,1
Gujranwala,Developers Roots Private Limited,4.9,-12.0,"Office #3 ,1st floor, Super Golden Plaza, main GT Rd, opposite trust Plaza",Not-Available,http://www.developersroots.com/,True,False,0,1
Gujranwala,auxilium.digital,4.9,-16.0,"c, 365 C block",(055) 4242035,http://auxilium.digital/,True,True,1,1
Gujranwala,ITS Tech World - Software Company,4.8,-50.0,"Office# 23, First Floor, T Block, Trust Plaza",0321 6472001,http://www.itstechworld.com/,True,True,1,1
Gujranwala,BestTech Software House|IT Training Center,5.0,-4.0,Main Disposal Rd,0300 6413163,Not-Available,False,True,1,0
Gujranwala,Greenzay Group,4.7,-35.0,·,0316 7221808,https://greenzay.com/,True,True,1,1
Gujranwala,DIGITONEX,5.0,-14.0,"Shop no 144, T Block, Trust plaza, GT Rd",0310 7880888,Not-Available,False,True,1,0
Gujranwala,PMS Software House,4.6,-16.0,·,0321 7554421,https://www.pms.net.pk/,True,True,1,1
Gujranwala,Technic Mentors,5.0,-110.0,·,0311 1122144,https://technicmentors.com/,True,True,1,1
Gujranwala,Ultimate Solutions,2.6,-7.0,Main Market,0300 6468177,http://ultsol.biz/,True,True,1,1
Gujranwala,Tecno sphere,4.9,-33.0,"2nd floor, Mumtaz market, Shafique center",0312 2555000,http://tecnosphere.com.pk/,True,True,1,1
Gujranwala,IT OASIS,4.6,-22.0,"Mumtaz Market, Main GT Rd",0304 9008079,Not-Available,False,True,1,0
Gujranwala,OSys Technologies- A Software Solution Company,5.0,-3.0,"First Floor, Opt. Trust Plaza, Super Golden Plaza, Office # 5 GT Rd",(055) 3731133,Not-Available,False,True,1,0
Gujranwala,ZeBuck,5.0,-3.0,14C New,0335 7700074,https://www.zebuck.com/,True,True,1,1
Gujranwala,Hybreathe,4.9,-14.0,"2, 0553 Jinnah Rd",0316 7068888,Not-Available,False,True,1,0
Gujranwala,Virtual Software Company LLC,5.0,-2.0,"Office No. 11, 4th Floor, Trade Center, G.T. Rd",+92 316 8547404,https://virtualsoftwarecompany.com/,True,True,1,1
Gujranwala,Sentaxlab Software Company,4.6,-5.0,"Office No 7, 3rd floor, trade center",+92 312 3385888,http://www.sentaxlab.net/,True,True,1,1
Gujranwala,Aims Soft Technologies,5.0,-1.0,"37-A Satellite Town, Ghulam Dastagir Khan Rd",+92 332 4477000,http://www.aimssoftech.com/,True,True,1,1
Gujranwala,Adam Tech(Software House),5.0,-1.0,"Al-bilal Road, link Hafizabad Rd",Not-Available,Not-Available,False,False,0,0
Gujranwala,Expert Soft Solution,4.7,-38.0,74-A,+92 301 4728930,https://expertsoftsolution.com/,True,True,1,1
Gujranwala,ALYYLA SOLUTIONS (SMC-PRIVATE) Limited,4.9,-29.0,Shop 1 DC Rd,+92 321 8888914,http://alyyla.com/,True,True,1,1
Gujranwala,AimGet Solution,4.5,-2.0,·,+92 315 7474084,Not-Available,False,True,1,0
Gujranwala,Sizdom Technologies,4.7,-18.0,"LG-17? Bhutta Center, GT Rd",+92 321 6284311,http://www.sizdom.com/,True,True,1,1
Gujranwala,Getsol Inc,4.9,-9.0,"Sunny Centre, Satellite town",+92 322 5646617,Not-Available,False,True,1,0
Gujranwala,"Standard Solutions, Gujranwala, Punjab, Pakistan",5.0,-5.0,596 B? Markazi Jamia Masjid Road,+92 322 9227464,Not-Available,False,True,1,0
Gujranwala,LuxoSoft Technologies,4.9,-15.0,Garden Town 3,+92 318 8368003,https://luxosofttechnologies.com/,True,True,1,1
Gujranwala,Tech GP 360 PVT LTD (Software House),0.0,0.0,01,+92 342 6222376,https://tech.guestposts360.com/,True,True,1,1
Gujranwala,Pakistan Best Software Company,5.0,-1.0,Office #20T Tblock Turst Plaza Gujanwala,+92 313 7493888,Not-Available,False,True,1,0
